,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
8908,General Store,female,Philippines,PH,shared,field_partner,1,300,English,irregular,Retail,funded,8,0.055
8909,Animal Sales,female,Peru,PE,shared,field_partner,24,625,Spanish,monthly,Agriculture,funded,14,0.038
8910,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,30,1000,English,monthly,Housing,funded,22,0.121
8911,Cafe,female,Tajikistan,TJ,shared,field_partner,16,650,English,monthly,Food,funded,14,0.294
8912,Home Products Sales,female,Bolivia,BO,shared,field_partner,19,725,Spanish,monthly,Retail,funded,14,0.105
8913,Laundry,female,Philippines,PH,shared,field_partner,41,1075,English,irregular,Services,funded,8,0.029
8914,Pigs,female,Philippines,PH,shared,field_partner,18,625,English,irregular,Agriculture,funded,9,0.055
8915,Taxi,male,Peru,PE,not shared,field_partner,26,750,Spanish,irregular,Transportation,funded,6,0.062
8916,Used Clothing,female,Ghana,GH,not shared,field_partner,7,275,English,monthly,Clothing,funded,10,0.058
8917,Pigs,female,Vietnam,VN,not shared,field_partner,17,425,English,irregular,Agriculture,funded,14,0.013
8918,Personal Expenses,female,Philippines,PH,shared,field_partner,11,275,English,irregular,Personal Use,funded,8,0.039
8919,Fruits & Vegetables,female,Cambodia,KH,not shared,field_partner,28,1300,English,monthly,Food,funded,20,0.121
8920,Auto Repair,female,Philippines,PH,shared,field_partner,6,550,English,irregular,Services,funded,8,0.055
8921,Grocery Store,male,Nicaragua,NI,shared,field_partner,16,800,Spanish,monthly,Food,not_funded,14,0.112
8922,Primary/secondary school costs,group,Lebanon,LB,not shared,field_partner,70,3600,English,monthly,Education,funded,8,0.003
8923,Farming,group,Cambodia,KH,shared,field_partner,5,850,English,monthly,Agriculture,not_funded,26,0.274
8924,Personal Housing Expenses,female,Cambodia,KH,shared,field_partner,40,1125,English,monthly,Housing,funded,26,0.097
8925,Renewable Energy Products,female,Indonesia,ID,shared,field_partner,12,625,English,monthly,Retail,funded,14,0.042
8926,Used Clothing,female,Ghana,GH,shared,field_partner,13,325,English,irregular,Clothing,funded,8,0.058
8927,Poultry,female,Peru,PE,shared,field_partner,12,350,Spanish,monthly,Agriculture,funded,14,0.038
8928,Retail,female,Philippines,PH,shared,field_partner,9,250,English,irregular,Retail,funded,7,0.055
8929,Agriculture,male,Philippines,PH,shared,field_partner,9,225,English,bullet,Agriculture,funded,7,0.039
8930,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,13,525,English,irregular,Housing,funded,20,0.09
8931,General Store,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Retail,funded,10,0.055
8932,Poultry,male,El Salvador,SV,shared,field_partner,20,1000,Spanish,irregular,Agriculture,not_funded,26,0.077
8933,Retail,female,Nicaragua,NI,shared,field_partner,39,975,Spanish,monthly,Retail,funded,14,0.077
8934,Animal Sales,male,Kenya,KE,shared,field_partner,3,250,English,monthly,Agriculture,funded,7,0.223
8935,Farming,group,Guatemala,GT,shared,field_partner,60,2250,Spanish,bullet,Agriculture,funded,14,0.067
8936,Cement,female,Timor-Leste,TL,not shared,field_partner,30,800,English,monthly,Construction,funded,15,0.406
8937,Motorcycle Transport,male,Philippines,PH,shared,field_partner,9,375,English,irregular,Transportation,funded,8,0.027
8938,Food Stall,group,Peru,PE,not shared,field_partner,41,3600,Spanish,monthly,Food,not_funded,8,0
8939,Food Market,female,Tajikistan,TJ,not shared,field_partner,13,500,English,monthly,Food,funded,14,0.021
8940,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,19,500,English,irregular,Food,funded,13,0.509
8941,Tailoring,female,Colombia,CO,shared,field_partner,5,225,Spanish,monthly,Services,funded,14,0.009
8942,Jewelry,female,Mongolia,MN,not shared,field_partner,64,2125,English,monthly,Retail,funded,20,0.006
8943,General Store,female,Philippines,PH,shared,field_partner,18,500,English,irregular,Retail,funded,11,0.055
8944,Weaving,female,Cambodia,KH,not shared,field_partner,10,250,English,monthly,Arts,funded,14,0.16
8945,Fishing,female,Philippines,PH,shared,field_partner,24,1000,English,irregular,Food,funded,13,0.055
8946,Cloth & Dressmaking Supplies,female,Senegal,SN,not shared,field_partner,22,625,French,monthly,Retail,funded,1 Year,0.449
8947,Food Stall,male,Ecuador,EC,not shared,field_partner,32,850,Spanish,monthly,Food,funded,1 Year,0.014
8948,Grocery Store,male,Ghana,GH,not shared,field_partner,9,450,English,irregular,Food,funded,9,0.058
8949,General Store,female,Kenya,KE,shared,field_partner,9,475,English,monthly,Retail,funded,14,0.075
8950,Bakery,female,Peru,PE,shared,field_partner,11,375,English,monthly,Food,funded,8,0.069
8951,Clothing Sales,female,Nicaragua,NI,not shared,field_partner,22,700,Spanish,monthly,Clothing,funded,15,0.161
8952,Food Market,female,Nigeria,NG,shared,field_partner,27,675,English,monthly,Food,funded,10,0.107
8953,Personal Housing Expenses,group,Cambodia,KH,shared,field_partner,7,250,English,monthly,Housing,funded,14,0.097
8954,Agriculture,female,Nicaragua,NI,not shared,field_partner,16,800,Spanish,bullet,Agriculture,funded,8,0.108
8955,Fruits & Vegetables,group,Burundi,BI,shared,field_partner,115,3650,French,irregular,Food,funded,8,0.501
8956,Higher education costs,female,Tajikistan,TJ,not shared,field_partner,26,800,Russian,monthly,Education,funded,61,0.033
8957,Fishing,female,Philippines,PH,shared,field_partner,15,925,English,irregular,Food,funded,1 Year,0.055
8958,Higher education costs,female,Tajikistan,TJ,not shared,field_partner,28,700,English,monthly,Education,funded,14,0.033
8959,Party Supplies,female,El Salvador,SV,shared,field_partner,21,1000,Spanish,monthly,Retail,not_funded,20,0.03
8960,Fish Selling,female,Kenya,KE,shared,field_partner,15,450,English,irregular,Food,funded,14,0.075
8961,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,12,525,English,irregular,Housing,not_funded,59,0.029
8962,Services,male,Colombia,CO,shared,field_partner,16,1675,Spanish,monthly,Services,not_funded,26,0.583
8963,Quarrying,male,Kenya,KE,shared,field_partner,21,525,English,monthly,Construction,funded,14,0.02
8964,Poultry,female,Colombia,CO,shared,field_partner,7,350,Spanish,monthly,Agriculture,funded,15,0.583
8965,Dairy,female,Kenya,KE,shared,field_partner,19,500,English,monthly,Agriculture,funded,16,0.509
8966,Farming,male,Honduras,HN,shared,field_partner,28,1075,Spanish,bullet,Agriculture,funded,11,0.109
8967,Farming,male,Kenya,KE,shared,field_partner,41,1200,English,monthly,Agriculture,funded,14,0.02
8968,Fruits & Vegetables,female,Jordan,JO,shared,field_partner,35,1450,English,monthly,Food,not_funded,18,0.005
8969,Personal Expenses,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Personal Use,funded,1 Year,0.055
8970,Cattle,male,El Salvador,SV,shared,field_partner,12,325,Spanish,bullet,Agriculture,funded,14,0.054
8971,Agriculture,male,Bolivia,BO,shared,field_partner,30,1000,Spanish,irregular,Agriculture,funded,15,0.043
8972,Food Production/Sales,female,Philippines,PH,shared,field_partner,5,150,English,irregular,Food,funded,8,0.055
8973,Personal Expenses,male,Nigeria,NG,shared,field_partner,7,650,English,bullet,Personal Use,not_funded,15,0.311
8974,Grocery Store,group,Zimbabwe,ZW,shared,field_partner,29,1400,English,irregular,Food,funded,9,0.024
8975,Personal Products Sales,female,Colombia,CO,shared,field_partner,6,200,Spanish,bullet,Retail,funded,14,0.005
8976,General Store,female,Timor-Leste,TL,not shared,field_partner,22,600,English,monthly,Retail,funded,13,0.406
8977,Clothing Sales,male,Nicaragua,NI,shared,field_partner,13,1400,Spanish,monthly,Clothing,not_funded,14,0.161
8978,Construction,female,Nicaragua,NI,not shared,field_partner,45,1200,Spanish,monthly,Construction,funded,26,0.132
8979,Grocery Store,group,Guatemala,GT,shared,field_partner,121,3225,Spanish,monthly,Food,funded,14,0.082
8980,Animal Sales,female,Tajikistan,TJ,not shared,field_partner,14,450,Russian,monthly,Agriculture,funded,14,0.086
8981,Weaving,female,Peru,PE,shared,field_partner,1,925,Spanish,irregular,Arts,funded,6,0.062
8982,Food Production/Sales,female,Philippines,PH,not shared,field_partner,28,750,English,irregular,Food,funded,8,0.422
8983,Agriculture,female,El Salvador,SV,shared,field_partner,10,300,Spanish,monthly,Agriculture,funded,9,0.054
8984,Retail,group,Burkina Faso,BF,shared,field_partner,2,1175,French,monthly,Retail,funded,8,0.554
8985,Beauty Salon,female,Pakistan,PK,shared,field_partner,14,350,English,monthly,Services,funded,14,0.039
8986,Transportation,male,Philippines,PH,shared,field_partner,13,350,English,irregular,Transportation,funded,5,0.029
8987,Clothing Sales,female,Nicaragua,NI,not shared,field_partner,29,1025,Spanish,monthly,Clothing,funded,14,0.161
8988,Health,group,Kenya,KE,shared,field_partner,24,900,English,irregular,Health,funded,72,0.223
8989,Phone Repair,male,Honduras,HN,shared,field_partner,27,1275,Spanish,monthly,Services,not_funded,20,0.112
8990,Clothing,female,Philippines,PH,shared,field_partner,3,675,English,irregular,Clothing,funded,6,0.422
8991,Agriculture,female,Kenya,KE,shared,field_partner,16,400,English,bullet,Agriculture,funded,17,0.02
8992,Retail,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Retail,funded,8,0.055
8993,Personal Expenses,male,Nigeria,NG,shared,field_partner,1,225,English,bullet,Personal Use,funded,14,0.311
8994,General Store,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Retail,funded,8,0.039
8995,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,23,600,English,irregular,Food,funded,14,0.075
8996,Construction,female,Nicaragua,NI,not shared,field_partner,19,525,Spanish,monthly,Construction,funded,16,0.082
8997,Motorcycle Transport,male,Yemen,YE,shared,field_partner,8,475,English,monthly,Transportation,funded,14,0.2
8998,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.353
8999,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,14,0.353
9000,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.121
9001,Home Products Sales,male,Indonesia,ID,shared,field_partner,2,300,English,bullet,Retail,funded,7,0.025
9002,Grocery Store,female,Togo,TG,shared,field_partner,9,800,French,monthly,Food,funded,17,0.067
9003,Auto Repair,male,Kenya,KE,shared,field_partner,5,225,English,monthly,Services,funded,8,0.075
9004,General Store,female,Philippines,PH,shared,field_partner,7,275,English,irregular,Retail,funded,8,0.055
9005,General Store,female,Philippines,PH,shared,field_partner,21,650,English,monthly,Retail,funded,1 Year,0.497
9006,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,5,150,English,irregular,Food,funded,8,0.039
9007,General Store,female,Philippines,PH,shared,field_partner,9,700,English,irregular,Retail,not_funded,14,0.055
9008,Charcoal Sales,male,Togo,TG,shared,field_partner,40,1150,French,monthly,Retail,funded,14,0.067
9009,General Store,female,El Salvador,SV,shared,field_partner,9,300,Spanish,monthly,Retail,funded,14,0.054
9010,Farming,female,Kenya,KE,shared,field_partner,14,400,English,monthly,Agriculture,not_funded,14,0.19
9011,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.353
9012,Used Shoes,male,Nicaragua,NI,shared,field_partner,12,900,Spanish,monthly,Clothing,not_funded,14,0.108
9013,Farming,male,Nigeria,NG,shared,field_partner,2,500,English,bullet,Agriculture,not_funded,19,0.311
9014,Food Market,female,Togo,TG,not shared,field_partner,26,800,French,monthly,Food,funded,16,0.067
9015,Clothing Sales,female,Kenya,KE,shared,field_partner,18,600,English,monthly,Clothing,funded,14,0.02
9016,Furniture Making,male,El Salvador,SV,shared,field_partner,18,500,Spanish,monthly,Manufacturing,funded,14,0.054
9017,Home Energy,male,Cambodia,KH,shared,field_partner,8,300,English,monthly,Personal Use,funded,20,0.696
9018,Primary/secondary school costs,male,Sierra Leone,SL,shared,field_partner,19,475,English,monthly,Education,funded,1 Year,0.423
9019,Sewing,female,Tajikistan,TJ,shared,field_partner,38,1200,Russian,monthly,Services,funded,13,0.033
9020,Motorcycle Transport,male,Kenya,KE,shared,field_partner,30,950,English,monthly,Transportation,funded,14,0.223
9021,Animal Sales,female,Peru,PE,not shared,field_partner,24,725,Spanish,monthly,Agriculture,funded,8,0.062
9022,Livestock,group,Mali,ML,shared,field_partner,76,4000,French,bullet,Agriculture,not_funded,9,0.067
9023,General Store,female,Colombia,CO,shared,field_partner,28,1000,Spanish,bullet,Retail,funded,26,0.005
9024,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,9,300,English,monthly,Food,funded,8,0.075
9025,Bakery,female,Peru,PE,not shared,field_partner,15,375,Spanish,monthly,Food,funded,8,0.062
9026,Retail,male,Rwanda,RW,shared,field_partner,6,850,English,monthly,Retail,not_funded,14,0.292
9027,Farming,male,Nicaragua,NI,shared,field_partner,24,1000,Spanish,bullet,Agriculture,funded,14,0.161
9028,Home Appliances,female,Nicaragua,NI,shared,field_partner,21,575,Spanish,monthly,Personal Use,funded,15,0.112
9029,Primary/secondary school costs,group,Lebanon,LB,not shared,field_partner,14,2700,English,irregular,Education,funded,9,0.003
9030,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,38,1000,Spanish,monthly,Housing,funded,14,0.077
9031,Retail,group,The Democratic Republic of the Congo,CD,shared,field_partner,15,5900,French,irregular,Retail,funded,6,0.034
9032,Food Stall,female,Philippines,PH,shared,field_partner,8,325,English,irregular,Food,funded,8,0.039
9033,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,26,750,English,monthly,Housing,funded,17,0.16
9034,Farming,female,Cambodia,KH,not shared,field_partner,11,300,English,monthly,Agriculture,funded,1 Year,0.16
9035,General Store,female,El Salvador,SV,shared,field_partner,7,1500,Spanish,monthly,Retail,not_funded,20,0.201
9036,Crafts,male,Peru,PE,shared,field_partner,12,900,Spanish,irregular,Arts,funded,6,0.062
9037,Health,group,Kenya,KE,shared,field_partner,45,1500,English,irregular,Health,funded,72,0.223
9038,Farming,group,Kenya,KE,shared,field_partner,29,825,English,bullet,Agriculture,funded,11,0.223
9039,Food Production/Sales,female,Togo,TG,shared,field_partner,15,425,French,monthly,Food,funded,14,0.067
9040,Beverages,female,Nigeria,NG,shared,field_partner,3,350,English,monthly,Food,funded,10,0.107
9041,Construction,male,Kenya,KE,shared,field_partner,38,1175,English,irregular,Construction,funded,9,0.242
9042,Clothing Sales,female,Kenya,KE,shared,field_partner,15,500,English,monthly,Clothing,funded,11,0.223
9043,Retail,female,The Democratic Republic of the Congo,CD,not shared,field_partner,23,1000,English,irregular,Retail,funded,7,0.102
9044,Pigs,male,El Salvador,SV,shared,field_partner,9,250,Spanish,monthly,Agriculture,funded,14,0.054
9045,Pigs,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Agriculture,funded,7,0.027
9046,Clothing Sales,male,Uganda,UG,not shared,field_partner,35,950,English,monthly,Clothing,funded,13,0.371
9047,Taxi,female,Pakistan,PK,shared,field_partner,10,400,English,monthly,Transportation,funded,14,0.039
9048,Retail,female,Ecuador,EC,not shared,field_partner,28,1575,Spanish,monthly,Retail,not_funded,14,0.014
9049,Retail,male,Kenya,KE,shared,field_partner,12,400,English,monthly,Retail,funded,14,0.223
9050,Cosmetics Sales,female,Peru,PE,shared,field_partner,11,350,Spanish,monthly,Retail,funded,8,0.069
9051,Food Market,female,Uganda,UG,not shared,field_partner,4,100,English,irregular,Food,funded,1 Year,0.013
9052,Food Market,female,Cote D'Ivoire,CI,not shared,field_partner,20,750,English,monthly,Food,funded,14,0.501
9053,Personal Housing Expenses,group,Cambodia,KH,shared,field_partner,29,725,English,monthly,Housing,funded,14,0.16
9054,Food Market,female,Kenya,KE,shared,field_partner,5,200,English,irregular,Food,funded,13,0.075
9055,Grocery Store,female,Nicaragua,NI,shared,field_partner,18,1375,Spanish,monthly,Food,funded,14,0.161
9056,Livestock,male,Senegal,SN,not shared,field_partner,34,1050,French,monthly,Agriculture,funded,14,0.449
9057,Farming,female,Philippines,PH,not shared,field_partner,1,125,English,bullet,Agriculture,funded,8,0.027
9058,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,22,575,English,irregular,Housing,funded,59,0.029
9059,Farming,male,Philippines,PH,shared,field_partner,10,350,English,bullet,Agriculture,funded,7,0.027
9060,Restaurant,female,Nigeria,NG,not shared,field_partner,10,400,English,monthly,Food,funded,10,0.107
9061,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,39,1000,Spanish,irregular,Housing,funded,20,0.077
9062,Fishing,female,Peru,PE,shared,field_partner,7,175,Spanish,irregular,Food,funded,6,0.069
9063,Grocery Store,male,Kenya,KE,shared,field_partner,10,1050,English,irregular,Food,not_funded,13,0.075
9064,Grocery Store,female,Nepal,NP,not shared,field_partner,6,225,English,monthly,Food,funded,14,0.094
9065,Retail,female,Peru,PE,not shared,field_partner,22,550,Spanish,irregular,Retail,funded,6,0.062
